FISCAL_DAY,UA_SPEND,CPI,PAID_INSTALL_TO_REG,ORGANIC_TO_PAID_REG,REG_TO_PU
2024-10-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-02,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-03,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-04,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-05,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-06,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-07,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-08,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-09,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-10,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-11,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-12,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-13,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-14,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-10-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-01,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-02,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-03,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-04,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-05,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-06,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-07,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-08,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-09,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-10,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-11,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-12,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-11-13,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
